cik,company_name,ticker
355627,CTI GROUP HOLDINGS INC,CTIG
1289592,"Tower Group, Inc.",TWGP
1022345,MARINER ENERGY INC,ME
1401688,"Vitacost.com, Inc.",VITC
857005,PARAMETRIC TECHNOLOGY CORP,PMTC
29989,OMNICOM GROUP INC,OMC
1127245,WELLS REAL ESTATE FUND XIII L P,
1282266,WINDSTREAM CORP,WIN
215419,CHECKPOINT SYSTEMS INC,CKP
865570,THQ INC,THQI
51253,INTERNATIONAL FLAVORS & FRAGRANCES INC,IFF
1397187,lululemon athletica inc.,LULU
1325460,ATS CORP,ATCT
1130166,"Cyclacel Pharmaceuticals, Inc.",CYCC
1005757,CSG SYSTEMS INTERNATIONAL INC,CSGS
1336920,"SAIC, Inc.",SAI
1279394,ENDOWMENT REGISTERED FUND L P,
355429,PROTECTIVE LIFE CORP,PL
1054721,BSQUARE CORP /WA,BSQR
858339,HARRAHS ENTERTAINMENT INC,HET
1141107,ARRIS GROUP INC,ARRS
826083,DELL INC,DELL
1364250,Douglas Emmett Inc,DEI
832988,SIGNET JEWELERS LTD,SIG
1133421,NORTHROP GRUMMAN CORP /DE/,NOC
85535,ROYAL GOLD INC,RGLD
754811,U S GLOBAL INVESTORS INC,GROW
1420800,Colfax CORP,CFX
904978,SUN HEALTHCARE GROUP INC,SUNH
1050825,STEELCASE INC,NYSE: SCS
1177394,SYNNEX CORP,SNX
1136869,ZIMMER HOLDINGS INC,ZMH
1397187,lululemon athletica inc.,lulu
930686,WESTERN SIZZLIN CORP,WEST
919012,AMERICAN EAGLE OUTFITTERS INC,AEO
1379895,DYNEGY INC.,DYN
96223,LEUCADIA NATIONAL CORP,LUK
25354,CPI CORP,CPY
1066605,HEIDRICK & STRUGGLES INTERNATIONAL INC,HSII
1321099,"DigitalPost Interactive, Inc.",DGLP
1385280,"Cinemark Holdings, Inc.",CNK
1138639,INFINERA CORP,INFN
1158172,"COMSCORE, INC.",SCOR
1084384,ELEPHANT TALK COMMUNICATIONS INC,ETAK
1073146,AMERICAN INTERNATIONAL INDUSTRIES INC,AMIN
1063530,POWER 3 MEDICAL PRODUCTS INC,PWRM
930420,KFORCE  INC,kfrc
1018840,ABERCROMBIE & FITCH CO /DE/,ANF
1469372,"Madison Square Garden, Inc.",MSG
1011509,Golden Minerals Co,AUMN
754673,SUFFOLK BANCORP,SUBK
885639,KOHLS CORPORATION,KSS
1089819,CLECO CORP,CNL
733269,ACXIOM CORP,ACXM
38067,FOREST CITY ENTERPRISES INC,FCEA/FCEB
1170154,GASTAR EXPLORATION LTD,GST
1068875,INFOSPACE INC,INSP
861884,RELIANCE STEEL & ALUMINUM CO,RS
1059790,POZEN INC /NC,POZN
709878,UNIVERSAL AMERICAN CORP.,UAM
917273,RAMBUS INC,RMBS
1363851,SXC Health Solutions Corp.,SXCI
1279392,ENDOWMENT MASTER FUND L P,
826675,DYNEX CAPITAL INC,DX
1002531,TOLLGRADE COMMUNICATIONS INC \PA\,TLGD
1051771,BELK INC,NONE
1041859,CHILDRENS PLACE RETAIL STORES INC,PLCE
1050797,COLUMBIA SPORTSWEAR CO,COLM
830524,CHASE CORP,CCF
722079,TERRA INDUSTRIES INC,TRA
100517,UAL CORP /DE/,UAUA
19446,CANTEL MEDICAL CORP,CMN
1423689,American Capital Agency Corp,AGNC
702165,NORFOLK SOUTHERN CORP,NSC
805305,QUIKSILVER INC,ZQK
1343719,ENERGY XXI (BERMUDA) LTD,EXXI
1026214,FEDERAL HOME LOAN MORTGAGE CORP,FRE
1283709,THOMAS PROPERTIES GROUP INC,TPGI
894081,"Air Transport Services Group, Inc.",ATSG
935703,DOLLAR TREE INC,DLTR
1280784,HERCULES TECHNOLOGY GROWTH CAPITAL INC,HTGC
926326,"OMNICELL, Inc",OMCL
1012019,RUSH ENTERPRISES INC \TX\,RUSH
1016546,ALTAIR NANOTECHNOLOGIES INC,ALTI
1059562,LMI AEROSPACE INC,LMIA
1288469,MAXLINEAR INC,MXL
1040570,"GeoEye, Inc.",GEOY
854560,GREAT SOUTHERN BANCORP INC,GSBC
1172052,SAFETY INSURANCE GROUP INC,SAFT
109563,APPLIED INDUSTRIAL TECHNOLOGIES INC,AIT
924642,DIGITAL ANGEL CORP,DIGA
1014672,CALIPER LIFE SCIENCES INC,CALP
891456,PLAINS EXPLORATION & PRODUCTION CO,PXP
40704,GENERAL MILLS INC,GIS
60086,LOEWS CORP,L
1391437,Gabelli Healthcare & WellnessRx Trust,GRX
757011,USG CORP,USG
943452,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,WAB
1183941,ACTIVIDENTITY CORP,ACTI
216085,HAVERTY FURNITURE COMPANIES INC,HVT
778438,BERRY PETROLEUM CO,BRY
1050925,GSI GROUP INC,GSIGQ
822663,INTER PARFUMS INC,IPAR
1295079,"Shengtai Pharmaceutical, Inc.",SGTI.OB
1451598,SeaOspa Inc,SOPA
785024,MID WISCONSIN FINANCIAL SERVICES INC,MWFS
707605,AMERISERV FINANCIAL INC /PA/,ASRV
1198145,PNC LONG-SHORT FUND LLC,NONE
1107694,"RACKSPACE HOSTING, INC.",RAX
1274057,HOSPIRA INC,HSP
1469038,Domain Extremes Inc.,NONE
1025536,TAYLOR CAPITAL GROUP INC,TAYC
895648,GENERAL GROWTH PROPERTIES INC,GGP
1468174,Hyatt Hotels Corp,H
1096550,"ENERGY QUEST, INC.",EQST
896429,USA TECHNOLOGIES INC,USAT
1001606,BLOUNT INTERNATIONAL INC,BLT
914712,ModusLink Global Solutions Inc,MLNK
912463,GUESS INC,GES
904979,SHILOH INDUSTRIES INC,SHLO
799850,AMERICAS CARMART INC,CRMT
41133,GERBER SCIENTIFIC INC,GRB
1056288,FEDERATED INVESTORS INC /PA/,FII
821002,G III APPAREL GROUP LTD /DE/,GIII
1198144,PNC ALTERNATIVE STRATEGIES FUND LLC,NONE
1096654,OHIO LEGACY CORP,OLCB
1168213,AEROPOSTALE INC,ARO
813298,CASUAL MALE RETAIL GROUP INC,CMRG
1071941,"ARCADIA RESOURCES, INC",KAD
1409477,"BEAUTY BRANDS GROUP, INC.",BBGR
1019654,Marine Exploration Inc,MEXP.BB
894405,ARKANSAS BEST CORP /DE/,ABFS
815094,ABIOMED INC,ABMD
937252,CAREADVANTAGE INC,CADV
1405495,"InterDigital, Inc.",IDCC
756502,SKYTERRA COMMUNICATIONS INC,SKYT
15615,MASTEC INC,MTZ
1096791,Oilsands Quest Inc,BQI
70145,NATIONAL FUEL GAS CO,NFG
1397807,"AmREIT, Inc.",AMREIT
1091491,HCSB FINANCIAL CORP,HCSB Finan
355999,UNITED STATIONERS INC,USTR
24751,CORNING NATURAL GAS CORP,cnig
921582,IMAX CORP,IMAX
874734,OSTEOTECH INC,OSTE
1010086,SIGA TECHNOLOGIES INC,SIGA
1289460,"Texas Roadhouse, Inc.",TXRH
1430602,"Scripps Networks Interactive, Inc.",SNI
1307752,"VirtualScopics, Inc.",VSCP
1268236,"New Generation Biofuels Holdings, Inc",NGBF
1357531,China Tel Group Inc,CHTL
1341808,China Pharmaceuticals Inc,CFMI.OB
5272,AMERICAN INTERNATIONAL GROUP INC,AIG
789868,AMERICAN DAIRY INC,ADY
74818,ORBIT INTERNATIONAL CORP,orbt
1085734,BLOCKBUSTER INC,BBI
1279176,"CPI INTERNATIONAL, INC.",CPII
1415432,AMERICAN SIERRA GOLD CORP.,AMNP
1316645,"American Caresource Holdings, Inc.",ANCI
56047,KIRBY CORP,KEX
1025835,ENTERPRISE FINANCIAL SERVICES CORP,EFSC
1066551,"SUN RIVER ENERGY, INC",SNRV
1206401,WELLS REAL ESTATE FUND XIV LP,
850209,FOOT LOCKER INC,FL
719152,INTEGRAL VISION INC,INVI
1438897,"Inland Diversified Real Estate Trust, Inc.",
1463833,"CTM MEDIA HOLDINGS, INC.",CTMM.PK
1174820,CENTER FINANCIAL CORP,CLFC
1129623,ODYSSEY HEALTHCARE INC,ODSY
1208208,DIGITALGLOBE INC,DGI
894315,DEVELOPERS DIVERSIFIED REALTY CORP,DDR
1302244,Valley Commerce Bancorp,vcbp
1410838,"El Paso Pipeline Partners, L.P.",EPB
940944,DARDEN RESTAURANTS INC,DRI
752642,"UMH PROPERTIES, INC.",UMH
1198415,WINTON FUTURES FUND LP (US),NONE
1050550,VOLTERRA SEMICONDUCTOR CORP,VLTR
934549,ACACIA RESEARCH CORP,ACTG
1307954,Huntsman CORP,HUN
1013871,"NRG ENERGY, INC.",NRG
927653,MCKESSON CORP,MCK
1305014,ASHLAND INC.,ASH
784539,EACO CORP,EACO
1124676,FIRST CENTURY BANCORP.,NONE
935494,NATIONAL INSTRUMENTS CORP /DE/,NATI
1381325,"BigBand Networks, Inc.",BBND
711669,COLONY BANKCORP INC,CBAN
1047699,KING PHARMACEUTICALS INC,KG
730708,SEACOAST BANKING CORP OF FLORIDA,SBCF
1407739,"DUPONT FABROS TECHNOLOGY, INC.",DFT
874214,ANNTAYLOR STORES CORP,ANN
827054,MICROCHIP TECHNOLOGY INC,MCHP
354869,FIRSTMERIT CORP /OH/,FMER
29644,DONALDSON CO INC,DCI
1038357,PIONEER NATURAL RESOURCES CO,PXD
4187,INDUSTRIAL SERVICES OF AMERICA INC /FL,IDSA
1259550,LOCAL.COM,LOCM
1076930,GSI GROUP INC,GSIGQ
1319229,TransMontaigne Partners L.P.,TLP
107263,WILLIAMS COMPANIES INC,WMB
1376812,Patriot Coal CORP,PCX
1174746,INTERCONTINENTALEXCHANGE INC,ICE
858803,"AVANIR PHARMACEUTICALS, INC.",AVNR
849399,SYMANTEC CORP,SYMC
1072805,WELLS REAL ESTATE FUND XII LP,
1275014,ULTRA CLEAN HOLDINGS INC,UCTT
1124198,FLUOR CORP,FLR
929920,WELLS REAL ESTATE FUND VIII LP,
1167178,"A123 SYSTEMS, INC.",AONE
885725,BOSTON SCIENTIFIC CORP,BSX
1060736,SEATTLE GENETICS INC /WA,SGEN
1273507,Wind Works Power Corp.,WWPW
1129633,PHOENIX COMPANIES INC/DE,PNX
832428,SCRIPPS E W CO /DE,SSP
