,avg_ROA,ROA_volatility,avg_ROE,ROE_volatility,avg_OperatingMargin,OperatingMargin_volatility,avg_AssetTurnover,AssetTurnover_volatility,avg_CurrentRatio,CurrentRatio_volatility,avg_Leverage,Leverage_volatility,avg_DebtToEquity,DebtToEquity_volatility,Revenue_growth,Assets_growth,NetIncome_growth,log_assets,capex_intensity,Revenue_growth_imputed,Assets_growth_imputed,NetIncome_growth_imputed,capex_intensity_imputed,has_rnd,has_goodwill,has_longtermdebt,core_completeness,Revenue_start,NetIncome_start,Assets_start,OperatingIncome_start,CapEx_start,CurrentAssets_start,CurrentLiabilities_start,reporting_consistency
A,0.016601114882954265,0.022431036444709857,0.029688526627296336,0.041753438799944774,0.152935759325535,0.030073231581908257,0.5363350716881832,0.12387983687626977,3.1468621125489893,0.525085561145491,1.0,0.0,0.38779163795708815,0.030381589805175354,-0.02428504898927497,0.003398684378081551,0.04414647773032532,22.90512105661981,0.03454486813039031,0,0,0,0,1,1,1,0.6013513513513513,0.08108108108108109,0.6486486486486487,0.0,0.0,0.0,0.0,0.0,0.6013513513513513
AA,-0.0010434089237310927,0.019636439000501375,0.0035150614676770888,0.042326042455053704,0.15122598898668843,0.04048814197737867,0.3452020306100663,0.16364891291498182,1.3515605890690845,0.1561883411122921,1.0,0.0,0.22830138416986995,0.13944744036629492,0.0007300198563013893,-0.0017872084219013873,0.0,23.546035530626426,0.03993668646785948,0,0,1,0,1,1,1,0.546875,0.4375,0.0625,0.1875,-1.0,0.0625,0.1875,0.1875,0.546875
AAPL,0.08394778294961662,0.029812687567809353,0.16743430456472527,0.06259917094768488,0.4428238620284409,0.13740143488656056,0.28412137273692717,0.18090543217100108,1.501227692197926,0.35586385778888285,1.0,0.0,0.18008364822197107,0.09617189237683099,-0.029795029127273942,0.05359385512606796,0.04425391411741386,26.184643621083303,0.10207018250855429,0,0,0,0,1,1,1,0.8125,0.7222222222222222,0.0,0.0,0.0,0.3888888888888889,0.0,0.0,0.8125
ABC,0.01325315898435901,0.011229329986407759,0.12321055346600455,0.1344611074669283,0.010215924280597663,0.0063378250203719585,2.116906109141945,0.8572685655730107,0.9768015439823815,0.06752608260846207,0.9999703082978849,0.00018135274669123924,1.147751674521037,1.1093264363127293,0.015876658231648078,0.029428113641557285,0.014863004464744423,23.916601157620356,0.003254976051246497,0,0,0,0,0,1,1,0.972972972972973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972972972972973
ABT,0.02509744684435482,0.020860887856473553,0.053454813893591954,0.04718985065619709,0.09011956013420318,0.06328896629127188,0.19842396376497742,0.10629454153772135,1.8201440256593377,0.5791195805884543,1.0000078184959549,3.778131420995328e-05,0.5531052731059952,0.30886517870189156,0.00315578572915598,0.006415933498054471,-0.03500308743090408,24.72672461920854,0.05705610469921669,0,0,0,0,1,1,1,0.7432432432432432,0.7297297297297297,0.1891891891891892,0.0,0.0,0.0,0.0,0.0,0.7432432432432432
ADBE,0.03486008711883483,0.023315646174602515,0.05779095025571316,0.04209946711385987,0.26476547127835753,0.10073867533720766,0.194142268776137,0.0792148114830048,2.5502246326854046,0.6788886537656798,1.0,0.0,0.25116168227113467,0.0636758423603327,0.057398977832790354,0.024166219692068003,0.07681810134843547,23.133683990837437,0.05504315505284832,0,0,0,0,0,1,1,0.972972972972973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972972972972973
ADI,0.05633417277779419,0.03930038986378077,0.08249026298792335,0.05328312401887502,0.2715788825720264,0.07685965257647684,0.143311605694671,0.11642441032981879,6.121418880538878,2.985156743244712,1.0,0.0,0.800777685363498,0.1600887590663014,0.014617711681732537,0.048634832188180654,0.07262723260914483,22.943693977807875,0.05639103659281005,0,0,0,0,1,1,0,0.7763157894736842,0.7368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.7763157894736842
ADM,0.017310030422629345,0.00967690129639148,0.06240491356167356,0.05866479815106164,0.15140468894906123,0.04048814197737867,0.7857136770916511,0.3185740375607326,1.7495684501372435,0.16932213961347467,1.0,0.0,0.6954293478880094,0.1600887590663014,0.01597738542071947,0.006333994846400959,0.012486595777591702,24.425616310240525,0.020740860715020765,0,0,0,0,1,1,1,0.7364864864864865,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.7364864864864865
ADP,0.020146769987689404,0.010691986457995083,0.14068424821787193,0.069556829290226,0.15140468894906123,0.04048814197737867,0.13279396285411268,0.05854955139332688,1.0763984722715532,0.03145115896462801,0.999757095904429,0.0013093313784350085,0.006323328839234628,0.0006962883651223002,0.0075155312390584594,0.01056578527285379,0.0008984288979188015,24.320179962190345,0.06401397821527602,0,0,0,1,0,1,1,0.7430555555555556,0.0,0.0,0.027777777777777776,-1.0,-1.0,0.027777777777777776,0.027777777777777776,0.7430555555555556
ADSK,-0.0005502904279049683,0.037427537132292764,-0.01892470513916454,0.45772350468093076,-0.15804193689739723,0.09101397902035506,0.23711124814798798,0.11370887427931063,1.8406062670934829,0.534139786080686,1.0,0.0,0.2540239166202238,1.6163949266213498,-0.0790013847366059,0.012108749871699409,0.0,22.117270260114044,0.03780044498200576,0,0,1,0,1,1,1,0.8055555555555556,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.8055555555555556
AEE,0.006139054964819156,0.012407442486151108,0.0193345587044285,0.042204404234041974,0.1820337743227415,0.07896756330306164,0.1155612401673079,0.04599299990559458,0.9918203873087751,0.3850156257608986,1.0000006300512387,3.780307433494853e-06,0.9054438223705207,0.33053487290965994,0.019345314301985495,0.003862989436210773,0.025943544758239456,23.887960771532818,0.3346229555402561,0,0,0,0,0,1,1,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9722222222222222
AEP,0.016621345775974055,0.009774025939943322,0.059591162836209785,0.03450406187315626,0.19168806493614543,0.05662446588157821,0.11544228351850269,0.04521530101162564,0.653845034049702,0.13875537902987303,1.0000131272540105,5.5660540511034164e-05,1.1467986572968465,0.056128144319278525,0.03237419580935019,0.009117695878454901,0.11853462451236041,24.784079292917983,0.004910019376269508,0,0,0,0,0,1,1,0.8402777777777778,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.8402777777777778
AES,0.0013983621375551298,0.012897624676418109,0.004063701867051061,0.1448109516558638,0.15140468894906123,0.04048814197737867,0.1802762187446173,0.11175574362049412,1.1595817992716095,0.14642043760042797,1.0000460835639757,0.0002890190664463291,0.6954293478880094,0.1600887590663014,-0.0015971534112044772,-0.0070023161176362425,0.040208736182008264,24.384992467130328,0.22929343173222155,0,0,0,0,0,1,0,0.65,0.05,0.0,0.0,-1.0,0.0,0.0,0.0,0.65
AET,0.020860563606784833,0.010420678792326495,0.07629125868261187,0.03841812510135254,0.15140468894906123,0.04048814197737867,0.4372004645794015,0.19518169057794615,0.8918249731893985,0.23219123190224575,1.0000204637760293,8.611905499789604e-05,0.564464562868194,0.20455740908138825,0.037175257130662276,0.010973852597695233,0.03987164686736944,24.638725740895328,0.009716755355011774,0,0,0,0,0,1,1,0.75,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.75
AFL,0.01208506641302141,0.007421050611647339,0.08890270619429709,0.053035331982217056,0.23461030099320565,0.027004058008108654,0.07803640391981774,0.03267420791944847,1.212616195549696,0.2843035676911552,1.0003545601930144,0.0018279303560932898,0.581965984907766,0.1600887590663014,0.030817687678744266,0.014382302545438153,0.043246234868259625,25.541162153918073,0.05548630644136347,0,0,0,1,0,0,0,0.9861111111111112,0.0,0.0,0.0,0.027777777777777776,-1.0,-1.0,-1.0,0.9861111111111112
AGN,0.04589128600268626,0.042590741409905396,0.07297518889117255,0.0702894029705888,0.22825578846094982,0.10724211263560095,0.3278610565386041,0.1733595407604833,3.8230193479034953,0.742835838247989,1.0,0.0,0.800777685363498,0.1600887590663014,0.09611764923236077,0.02465316918346261,0.11660498670575947,22.953666184123865,0.025770658176312133,0,0,0,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AIG,0.0035153470961800377,0.007527291002681016,0.018475979018553537,0.04546769487612106,0.1655626142114699,0.04048814197737867,0.048813450986131116,0.023423477932010592,1.212616195549696,0.2843035676911552,1.0,0.0,0.4509831565510156,0.1164846222248176,0.017663230470380098,-0.01595072706562084,0.0,27.052796431516718,0.05548630644136347,0,0,1,1,0,1,1,0.7430555555555556,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.7430555555555556
AIV,0.018827336109679765,0.025411648155625,0.0757186694029594,0.096748526333105,0.21114756309869137,0.05492934067685223,0.06739764970890244,0.027214907888001547,1.747797921693551,0.2843035676911552,1.0,0.0,2.7556764538984835,0.6687505779087314,0.018011007482754415,-0.00608307890456572,0.0,22.586653683492987,0.04961547499536251,0,0,1,1,0,1,1,0.9791666666666666,0.0,0.0,0.05555555555555555,0.0,-1.0,-1.0,-1.0,0.9791666666666666
AIZ,0.0065902580964263355,0.0034146755955234954,0.04059398909413603,0.024546063084034675,0.15140468894906123,0.04048814197737867,0.12245570690914831,0.056565842629180275,1.3086230987565755,0.2843035676911552,1.0002371704625197,0.001402957732162043,0.350548799551616,0.06726478424693287,0.027522915539544224,0.01253648615516778,0.0057583920200061645,24.13331939510974,0.011115988775524556,0,0,0,0,0,1,1,0.75,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.75
AKAM,0.03202412210524548,0.01524703664080178,0.040236324413501987,0.018509237442045072,0.26380663667629817,0.059038258720515685,0.21690299326626017,0.085549618948044,3.92263047416928,1.2733787131484453,1.0,0.0,0.4973977810195485,0.1600887590663014,0.03153588129253393,0.026280946027337215,0.047411794424694564,22.00107169057702,0.16704519482078675,0,0,0,0,1,1,0,0.9722222222222222,0.0,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.027777777777777776,0.9722222222222222
AKS,-0.01915318990261996,0.048320743997305786,0.2069599338273821,0.6781280713819894,0.0509173776647534,0.018972663140022626,0.7120920698014988,0.36038952740807767,1.6904418151151257,0.26317878079757806,1.0,0.0,-5.448905231042762,7.4692868967702175,-0.035532892432124874,0.001253989057543814,0.11926970247980861,22.162980894595016,0.028710096524748832,0,0,0,0,1,1,1,0.8125,0.75,0.0,0.0,0.0,0.19444444444444445,0.0,0.0,0.8125
