ticker,date,Assets,GrossProfit,Liabilities,NetIncomeLoss,Revenues
AAPL,2007-09-29,,8154000000.0,,3496000000.0,
AAPL,2008-06-28,,5503000000.0,,2385000000.0,
AAPL,2008-09-27,38438333333.333336,12171000000.0,18542000000.0,5476500000.0,
AAPL,2008-12-27,,4507000000.0,,2255000000.0,
AAPL,2009-03-28,,5129333333.333333,,2371666666.6666665,
AAPL,2009-06-27,48140000000.0,6526400000.0,22252000000.0,2925400000.0,
AAPL,2009-09-26,48559333333.333336,13172250000.0,17892600000.0,6176500000.0,
AAPL,2009-12-26,53926000000.0,6411000000.0,18158000000.0,3378000000.0,
AAPL,2010-03-27,57057000000.0,7762000000.0,17709000000.0,4200000000.0,
AAPL,2010-06-26,64725000000.0,10148000000.0,21614000000.0,5403666666.666667,
AAPL,2010-09-25,75183000000.0,18415200000.0,27392000000.0,10131000000.0,
AAPL,2010-12-25,86742000000.0,10298000000.0,32076000000.0,6004000000.0,
AAPL,2011-03-26,94904000000.0,13650666666.666666,33427000000.0,7988333333.333333,
AAPL,2011-06-25,106758000000.0,18760666666.666668,37415000000.0,11305000000.0,
AAPL,2011-09-24,116371000000.0,30842800000.0,39756000000.0,18202400000.0,
AAPL,2011-12-31,138681000000.0,20703000000.0,48627000000.0,13064000000.0,
AAPL,2012-03-31,150934000000.0,25465000000.0,48436000000.0,15976666666.666666,
AAPL,2012-06-30,162896000000.0,28083000000.0,51150000000.0,17052666666.666666,
AAPL,2012-09-29,176064000000.0,46957600000.0,57854000000.0,28329000000.0,
AAPL,2012-12-29,196088000000.0,21060000000.0,68742000000.0,13078000000.0,
AAPL,2013-03-30,194743000000.0,23369000000.0,59253000000.0,13906333333.333334,
AAPL,2013-06-29,199856000000.0,25493666666.666668,76502000000.0,14441666666.666666,
AAPL,2013-09-28,207000000000.0,44130800000.0,83451000000.0,25227000000.0,
AAPL,2013-12-28,225184000000.0,21846000000.0,95500000000.0,13072000000.0,
AAPL,2014-03-29,205989000000.0,25229000000.0,85810000000.0,14580333333.333334,
AAPL,2014-06-28,222520000000.0,27999333333.333332,101580000000.0,15513000000.0,
AAPL,2014-09-27,231839000000.0,48725800000.0,120292000000.0,27092800000.0,
AAPL,2014-12-27,261894000000.0,29741000000.0,138566000000.0,18024000000.0,
AAPL,2015-03-28,261194000000.0,33569666666.666668,132188000000.0,19577000000.0,
AAPL,2015-06-27,273151000000.0,37480000000.0,147474000000.0,21208000000.0,
AAPL,2015-09-26,290452200000.0,64394800000.0,171097200000.0,36486000000.0,
AAPL,2015-12-26,293284000000.0,30423000000.0,165017000000.0,18361000000.0,
AAPL,2016-03-26,305277000000.0,30062000000.0,174820000000.0,16636333333.333334,
AAPL,2016-06-25,305602000000.0,32887333333.333332,179061000000.0,17421666666.666668,
AAPL,2016-09-24,321686000000.0,57683000000.0,193437000000.0,31017800000.0,215639000000.0
AAPL,2016-12-31,331141000000.0,30176000000.0,198751000000.0,17891000000.0,78351000000.0
AAPL,2017-04-01,334532000000.0,30649666666.666668,200450000000.0,16992666666.666666,52896000000.0
AAPL,2017-07-01,345173000000.0,34410333333.333336,212748000000.0,18357000000.0,45408000000.0
AAPL,2017-09-30,375319000000.0,60884000000.0,241272000000.0,33296200000.0,140906500000.0
AAPL,2017-12-30,406794000000.0,33912000000.0,266595000000.0,20065000000.0,88293000000.0
AAPL,2018-03-31,367502000000.0,34726000000.0,240624000000.0,20510333333.333332,61137000000.0
AAPL,2018-06-30,349197000000.0,39532333333.333336,234248000000.0,22814666666.666668,53265000000.0
AAPL,2018-09-29,365725000000.0,70737000000.0,258578000000.0,41368600000.0,164247500000.0
AAPL,2018-12-29,373719000000.0,32031000000.0,255827000000.0,19965000000.0,
AAPL,2019-03-30,341998000000.0,32498000000.0,236138000000.0,18216000000.0,
AAPL,2019-06-29,322239000000.0,38177666666.666664,225783000000.0,20552666666.666668,
AAPL,2019-09-28,338516000000.0,68760400000.0,248028000000.0,38628000000.0,
AAPL,2019-12-28,340618000000.0,35217000000.0,251087000000.0,22236000000.0,
AAPL,2020-03-28,320400000000.0,36456800000.0,241975000000.0,20143400000.0,
AAPL,2020-06-27,317344000000.0,45714800000.0,245062000000.0,24647000000.0,
AAPL,2020-09-26,323888000000.0,84889250000.0,258549000000.0,46226500000.0,
AAPL,2020-12-26,354054000000.0,44328000000.0,287830000000.0,28755000000.0,
AAPL,2021-03-27,337158000000.0,60243000000.0,267980000000.0,38007500000.0,
AAPL,2021-06-26,329840000000.0,76458500000.0,265560000000.0,47936500000.0,
AAPL,2021-09-25,351002000000.0,152836000000.0,287912000000.0,94680000000.0,
AAPL,2021-12-25,381191000000.0,54243000000.0,309259000000.0,34630000000.0,
AAPL,2022-03-26,350662000000.0,69680500000.0,283263000000.0,42325000000.0,
AAPL,2022-06-25,336309000000.0,84286000000.0,278202000000.0,49262000000.0,
AAPL,2022-09-24,352755000000.0,170782000000.0,302083000000.0,99803000000.0,
AAPL,2022-12-31,346747000000.0,50332000000.0,290020000000.0,29998000000.0,
AAPL,2023-04-01,332160000000.0,67142000000.0,270002000000.0,39159000000.0,
AAPL,2023-07-01,335038000000.0,82567000000.0,274764000000.0,46960000000.0,
AAPL,2023-09-30,352583000000.0,169148000000.0,290437000000.0,96995000000.0,
AAPL,2023-12-30,353514000000.0,54855000000.0,279414000000.0,33916000000.0,
AAPL,2024-03-30,337411000000.0,69698500000.0,263217000000.0,40594000000.0,
AAPL,2024-06-29,331612000000.0,88241000000.0,264904000000.0,50224000000.0,
AAPL,2024-09-28,364980000000.0,180683000000.0,308030000000.0,93736000000.0,
GOOGL,2013-12-31,,,,12733000000.0,55519000000.0
GOOGL,2014-09-30,,,,6100000000.0,32210500000.0
GOOGL,2014-12-31,129806500000.0,,,14136000000.0,66001000000.0
GOOGL,2015-03-31,,,,3515000000.0,17258000000.0
GOOGL,2015-06-30,,,,5688500000.0,26356000000.0
GOOGL,2015-09-30,144281000000.0,,,7702000000.0,36167500000.0
GOOGL,2015-12-31,147461000000.0,,27130000000.0,16348000000.0,74989000000.0
GOOGL,2016-03-31,149747000000.0,,26178000000.0,4207000000.0,20257000000.0
GOOGL,2016-06-30,154292000000.0,,26413000000.0,6980500000.0,31628500000.0
GOOGL,2016-09-30,159948000000.0,,25845000000.0,9603000000.0,43329500000.0
GOOGL,2016-12-31,167497000000.0,,28461000000.0,19478000000.0,90272000000.0
GOOGL,2017-03-31,172756000000.0,,27807000000.0,5426000000.0,24750000000.0
GOOGL,2017-06-30,178621000000.0,,30335000000.0,6237000000.0,38385000000.0
GOOGL,2017-09-30,189536000000.0,,32436000000.0,11207000000.0,53152000000.0
GOOGL,2017-12-31,197295000000.0,,44793000000.0,12662000000.0,110855000000.0
GOOGL,2018-03-31,206935000000.0,,46110000000.0,9401000000.0,31146000000.0
GOOGL,2018-06-30,211610000000.0,,49610000000.0,7895500000.0,48230000000.0
GOOGL,2018-09-30,221538000000.0,,51698000000.0,15490000000.0,65641500000.0
GOOGL,2018-12-31,232792000000.0,,55164000000.0,30736000000.0,136819000000.0
GOOGL,2019-03-31,245349000000.0,,61877000000.0,6657000000.0,36339000000.0
GOOGL,2019-06-30,257101000000.0,,64909000000.0,13275500000.0,
GOOGL,2019-09-30,263044000000.0,,68075000000.0,15370000000.0,
GOOGL,2019-12-31,275909000000.0,,74467000000.0,34343000000.0,161857000000.0
GOOGL,2020-03-31,273403000000.0,,69744000000.0,6836000000.0,41159000000.0
GOOGL,2020-06-30,278492000000.0,,71170000000.0,10377000000.0,58876500000.0
GOOGL,2020-09-30,299243000000.0,,86323000000.0,18144500000.0,
GOOGL,2020-12-31,319616000000.0,,97072000000.0,40269000000.0,182527000000.0
GOOGL,2021-03-31,327095000000.0,,97082000000.0,17930000000.0,55314000000.0
GOOGL,2021-06-30,335387000000.0,,97822000000.0,27490000000.0,89537000000.0
GOOGL,2021-09-30,347403000000.0,,102836000000.0,37163500000.0,
GOOGL,2021-12-31,359268000000.0,,107633000000.0,76033000000.0,257637000000.0
GOOGL,2022-03-31,357096000000.0,,103092000000.0,16436000000.0,
GOOGL,2022-06-30,355185000000.0,,99766000000.0,24220000000.0,
GOOGL,2022-09-30,358255000000.0,,104629000000.0,30129000000.0,
GOOGL,2022-12-31,365264000000.0,,109120000000.0,59972000000.0,
GOOGL,2023-03-31,369491000000.0,,108597000000.0,15051000000.0,
GOOGL,2023-06-30,383044000000.0,,115903000000.0,25893500000.0,
GOOGL,2023-09-30,396711000000.0,,123509000000.0,36398500000.0,
GOOGL,2023-12-31,402392000000.0,,119013000000.0,73795000000.0,
GOOGL,2024-03-31,407350000000.0,,114506000000.0,23662000000.0,
GOOGL,2024-06-30,414770000000.0,,114017000000.0,35450000000.0,
GOOGL,2024-09-30,430266000000.0,,116147000000.0,49941500000.0,
MSFT,2007-09-30,,11087000000.0,,4289000000.0,13762000000.0
MSFT,2007-12-31,,12824000000.0,,4707000000.0,16367000000.0
MSFT,2008-03-31,,11940000000.0,,4388000000.0,14454000000.0
MSFT,2008-06-30,,30896500000.0,,10989000000.0,38128500000.0
MSFT,2008-09-30,,12213000000.0,,4373000000.0,15061000000.0
MSFT,2008-12-31,,12722000000.0,,5631666666.666667,21649333333.333332
MSFT,2009-03-31,,10834000000.0,,5826000000.0,24211333333.333332
MSFT,2009-06-30,77888000000.0,28397500000.0,,10727666666.666666,35768000000.0
MSFT,2009-09-30,81612000000.0,10078000000.0,,3574000000.0,12920000000.0
MSFT,2009-12-31,82096000000.0,15394000000.0,,7853333333.333333,24190000000.0
MSFT,2010-03-31,84910000000.0,11748000000.0,,7418000000.0,25150333333.333332
MSFT,2010-06-30,86113000000.0,31479000000.0,39938000000.0,13063200000.0,39261500000.0
MSFT,2010-09-30,91540000000.0,13056000000.0,44598000000.0,5410000000.0,16195000000.0
MSFT,2010-12-31,92306000000.0,15120000000.0,43825000000.0,7986500000.0,28050500000.0
MSFT,2011-03-31,99727000000.0,12531000000.0,46275000000.0,9246666666.666666,
MSFT,2011-06-30,108704000000.0,38083200000.0,51621000000.0,16239600000.0,
MSFT,2011-09-30,107415000000.0,13595000000.0,48024000000.0,5738000000.0,
MSFT,2011-12-31,,18645750000.0,,8058500000.0,
MSFT,2012-03-31,118010000000.0,20665500000.0,49351000000.0,9228666666.666666,
MSFT,2012-06-30,121271000000.0,39274200000.0,54908000000.0,9990000000.0,
