tag,company_count,value_count,avg_values_per_company,units
NetCashProvidedByUsedInFinancingActivities,500,55795,111.59,USD
NetCashProvidedByUsedInInvestingActivities,500,55827,111.65,USD
LiabilitiesAndStockholdersEquity,500,57387,114.77,USD
Assets,500,60665,121.33,USD
NetCashProvidedByUsedInOperatingActivities,497,55766,112.21,USD
WeightedAverageNumberOfDilutedSharesOutstanding,496,90874,183.21,shares
IncomeTaxExpenseBenefit,496,94351,190.22,USD
EarningsPerShareDiluted,496,115890,233.65,"shares, pure, BillionsCubicFeet, shares/USD, USD/shares, segment"
AccumulatedOtherComprehensiveIncomeLossNetOfTax,495,65144,131.6,USD
EarningsPerShareBasic,494,114328,231.43,"shares, pure, shares/USD, USD/shares, segment"
WeightedAverageNumberOfSharesOutstandingBasic,493,90515,183.6,shares
StockholdersEquity,492,69134,140.52,USD
ComprehensiveIncomeNetOfTax,492,76941,156.38,USD
NetIncomeLoss,492,110181,223.95,USD
RetainedEarningsAccumulatedDeficit,487,55447,113.85,USD
CashAndCashEquivalentsAtCarryingValue,486,86506,178.0,USD
OperatingLeaseLiability,486,8250,16.98,USD
OperatingLeaseRightOfUseAsset,485,15543,32.05,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,481,41710,86.72,USD
CommonStockSharesAuthorized,476,44275,93.01,shares
UnrecognizedTaxBenefits,475,29962,63.08,USD
LesseeOperatingLeaseLiabilityPaymentsDue,475,5273,11.1,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,474,23980,50.59,USD
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,473,5192,10.98,USD
PropertyPlantAndEquipmentNet,473,50965,107.75,USD
PaymentsForRepurchaseOfCommonStock,472,46559,98.64,USD
LesseeOperatingLeaseLiabilityPaymentsDueYearFive,471,4039,8.58,USD
LesseeOperatingLeaseLiabilityPaymentsDueYearThree,471,5105,10.84,USD
CashAndCashEquivalentsPeriodIncreaseDecrease,471,35466,75.3,USD
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,471,3970,8.43,USD
LesseeOperatingLeaseLiabilityPaymentsDueYearFour,470,5095,10.84,USD
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,470,5104,10.86,USD
