tag,company_count,value_count,avg_values_per_company,units
Assets,487,55504,113.97,USD
LiabilitiesAndStockholdersEquity,487,52426,107.65,USD
NetCashProvidedByUsedInFinancingActivities,486,50808,104.54,USD
NetCashProvidedByUsedInInvestingActivities,486,50754,104.43,USD
IncomeTaxExpenseBenefit,486,86519,178.02,USD
NetCashProvidedByUsedInOperatingActivities,482,50617,105.01,USD
WeightedAverageNumberOfDilutedSharesOutstanding,481,82862,172.27,shares
EarningsPerShareBasic,481,105090,218.48,"pure, AUD/shares, shares/USD, shares, USD/shares, segment"
WeightedAverageNumberOfSharesOutstandingBasic,481,82771,172.08,shares
RetainedEarningsAccumulatedDeficit,480,51553,107.4,USD
EarningsPerShareDiluted,480,106057,220.95,"pure, AUD/shares, BillionsCubicFeet, shares/USD, shares, USD/shares, segment"
NetIncomeLoss,479,99461,207.64,USD
AccumulatedOtherComprehensiveIncomeLossNetOfTax,479,60877,127.09,USD
StockholdersEquity,476,60985,128.12,USD
CashAndCashEquivalentsAtCarryingValue,471,79219,168.19,USD
ComprehensiveIncomeNetOfTax,470,68076,144.84,USD
CashAndCashEquivalentsPeriodIncreaseDecrease,469,35101,74.84,USD
PropertyPlantAndEquipmentNet,469,47351,100.96,USD
UnrecognizedTaxBenefits,461,27389,59.41,USD
DeferredIncomeTaxExpenseBenefit,459,38484,83.84,USD
CommonStockSharesAuthorized,456,40167,88.09,shares
Goodwill,454,49383,108.77,USD
PaymentsForRepurchaseOfCommonStock,452,42108,93.16,USD
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,451,32223,71.45,USD
CurrentFederalTaxExpenseBenefit,444,16839,37.93,USD
CommonStockParOrStatedValuePerShare,443,40032,90.37,"pure, shares/USD, CHF/shares, GBP/shares, shares, USD/shares, EUR/shares"
DeferredTaxLiabilities,443,9342,21.09,USD
OperatingLeasesFutureMinimumPaymentsDueCurrent,441,4720,10.7,USD
DeferredTaxAssetsValuationAllowance,441,11731,26.6,USD
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,440,4924,11.19,USD
OperatingLeasesFutureMinimumPaymentsDueInFourYears,440,4908,11.15,USD
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,440,4917,11.18,USD
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,439,20539,46.79,"pure, Rate, USD, percentage"
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,439,4806,10.95,USD
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,439,14706,33.5,USD
CommonStockValue,438,42574,97.2,USD
OperatingLeasesFutureMinimumPaymentsDueThereafter,436,4788,10.98,USD
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,436,13930,31.95,USD
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,430,13301,30.93,USD
EffectiveIncomeTaxRateContinuingOperations,429,40984,95.53,"pure, percentage, Rate, USD, Percent, percent, customers"
DeferredTaxAssetsLiabilitiesNet,429,7587,17.69,USD
DeferredFederalIncomeTaxExpenseBenefit,428,16258,37.99,USD
CurrentStateAndLocalTaxExpenseBenefit,427,16196,37.93,USD
OtherComprehensiveIncomeLossNetOfTax,426,50274,118.01,"USD, EUR"
DeferredTaxAssetsNet,423,10162,24.02,USD
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,421,40999,97.38,shares
CommonStockSharesIssued,421,38412,91.24,shares
LiabilitiesCurrent,418,43339,103.68,USD
AssetsCurrent,418,43373,103.76,USD
PropertyPlantAndEquipmentGross,417,23236,55.72,USD
ShareBasedCompensation,417,45768,109.76,USD
DeferredTaxAssetsOther,417,9565,22.94,USD
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,415,12438,29.97,USD
PaymentsToAcquireBusinessesNetOfCashAcquired,415,26428,63.68,"USD, EUR"
OtherAssetsNoncurrent,413,41366,100.16,USD
InterestExpense,412,58489,141.96,USD
LongTermDebt,409,18896,46.2,USD
OperatingIncomeLoss,408,75308,184.58,USD
