,avg_ROA,ROA_volatility,avg_ROE,ROE_volatility,avg_OperatingMargin,OperatingMargin_volatility,avg_AssetTurnover,AssetTurnover_volatility,avg_CurrentRatio,CurrentRatio_volatility,avg_Leverage,Leverage_volatility,avg_DebtToEquity,DebtToEquity_volatility,avg_log_Revenue,log_Revenue_volatility,avg_log_Assets,log_Assets_volatility,avg_log_NetIncome,log_NetIncome_volatility,avg_log_OperatingIncome,log_OperatingIncome_volatility,avg_log_Liabilities,log_Liabilities_volatility,avg_log_StockholdersEquity,log_StockholdersEquity_volatility,avg_log_CurrentAssets,log_CurrentAssets_volatility,avg_log_CurrentLiabilities,log_CurrentLiabilities_volatility,avg_log_LongTermDebt,log_LongTermDebt_volatility,avg_log_CapEx,log_CapEx_volatility,Revenue_growth,Assets_growth,NetIncome_growth,capex_intensity,Revenue_growth_imputed,Assets_growth_imputed,NetIncome_growth_imputed,capex_intensity_imputed,has_rnd,has_goodwill,has_longtermdebt,core_completeness,reporting_consistency
A,0.016601114882954265,0.022431036444709857,0.029688526627296336,0.041753438799944774,0.152935759325535,0.030073231581908257,0.5363350716881832,0.12387983687626977,3.1468621125489893,0.525085561145491,1.0,0.0,0.38779163795708815,0.030381589805175354,22.297775266135815,0.23025713980553755,22.896260055328757,0.1342542877961709,14.628359409315063,12.842227866773758,19.646145704852934,0.6112915551482839,22.896260055328757,0.1342542877961709,22.20435460746215,0.1802124446405152,22.2156307658692,0.18213857651476867,21.084423783724155,0.31854017294233933,21.26319053817318,0.0625820072954607,17.33463965568041,4.296859543149971,-0.027705859863697557,0.0034959591893419795,0.04980009145522768,0.03454486813039031,0,0,0,0,1,1,1,0.6013513513513513,0.6013513513513513
AA,-0.0010434089237310927,0.019636439000501375,0.0035150614676770888,0.042326042455053704,0.15255135212926862,0.03892922357694295,0.3452020306100663,0.16364891291498182,1.3515605890690845,0.1561883411122921,1.0,0.0,0.22830138416986995,0.13944744036629492,22.37827303373138,0.47763912893263527,23.545685902027014,0.027773553728049263,1.0068435711055905,19.535175923386603,19.881800526133908,0.6313802741222554,23.545685902027014,0.027773553728049263,22.488482969161506,0.1934225040028697,22.035487397317397,0.16004099291176851,21.740509777158625,0.11229440192767765,20.67443506435653,0.968322001133029,19.188765277952008,0.631765109082306,0.0008213098019329568,-0.001965753493553768,0.0,0.03993668646785948,0,0,1,0,1,1,1,0.546875,0.546875
AAPL,0.08394778294961662,0.029812687567809353,0.16743430456472527,0.06259917094768488,0.4428238620284409,0.13740143488656056,0.28412137273692717,0.18090543217100108,1.501227692197926,0.35586385778888285,1.0,0.0,0.18008364822197107,0.09617189237683099,25.182971279843045,0.55975702698216,26.063895256094412,0.5415844113061713,23.530942465702722,0.4994798031847368,23.977127380573037,0.5707500375462726,26.063895256094412,0.5415844113061713,25.373945649358383,0.3500870330634274,25.0210909889079,0.4007384727953311,24.63957731797531,0.5786003343432741,21.224092710005078,7.966131055940375,22.53941533655276,0.5581811404364928,-0.033456438137895006,0.0551665996866717,0.04554668468427425,0.10207018250855429,0,0,0,0,1,1,1,0.8125,0.8125
ABC,0.01325315898435901,0.011229329986407759,0.12321055346600455,0.1344611074669283,0.010215924280597663,0.0063378250203719585,2.116906109141945,0.8572685655730107,0.9768015439823815,0.06752608260846207,0.9999703082978849,0.00018135274669123924,1.147751674521037,1.1093264363127293,24.522635033103988,0.47254412628641895,23.846693304676993,0.3808437906073694,16.25825050158535,10.742352461406414,16.750581886407545,10.950916287624445,23.846663596534544,0.3808278880007548,21.57435251211175,0.31323382925314275,23.52088556799707,0.3512327560363893,23.546634340789208,0.40883912923826693,21.267903480624476,0.8027506384247644,18.751800267610108,0.6306603964588425,0.0163339620046703,0.030281522459996824,0.015290892234623321,0.003254976051246497,0,0,0,0,0,1,1,0.972972972972973,0.972972972972973
ABT,0.02509744684435482,0.020860887856473553,0.053454813893591954,0.04718985065619709,0.09011956013420318,0.06328896629127188,0.19842396376497742,0.10629454153772135,1.8201440256593377,0.5791195805884543,1.0000078184959549,3.778131420995328e-05,0.5531052731059952,0.30886517870189156,23.215738231426343,0.4638706296704976,24.70219350969257,0.2254494174721688,18.178280831351618,9.820595450847897,19.987431986579022,6.756040648762566,24.70220132746417,0.2254404711036056,23.922720251213374,0.15077568732219337,23.678252204653273,0.2293772354568098,23.11807159611462,0.2963603561587355,22.908178790189236,1.0384978876513722,20.300039217930355,0.5938398524336603,0.003550958542756222,0.006599849492800125,-0.036230278023284046,0.05705610469921669,0,0,0,0,1,1,1,0.7432432432432432,0.7432432432432432
ADBE,0.034309450375885814,0.02199613289880984,0.056687055467855546,0.03878918314147863,0.261683491102561,0.09673109419141893,0.194142268776137,0.0792148114830048,2.5502246326854046,0.6788886537656798,1.0,0.0,0.25116168227113467,0.0636758423603327,21.39462606636766,0.49387151346438707,23.110352784046867,0.21605235013388427,19.498304962386026,0.8489130334087278,19.967112006394526,0.8269818468495919,23.110352784046867,0.21605235013388427,22.630867334466636,0.16316482078791156,22.227008448479705,0.25251970433166,21.32712674508074,0.4775791687600157,21.365095142635923,0.285624018850933,18.430603886861338,0.6613873688458962,0.05908648453713594,0.024865198064594862,0.07209477882853998,0.05504315505284832,0,0,0,0,0,1,1,0.972972972972973,0.972972972972973
ADI,0.055820296001832435,0.03918974829055597,0.08155350525088194,0.05264315494731145,0.2639465249553276,0.07230942626086428,0.143311605694671,0.11642441032981879,6.239915885441651,2.8256992042702094,1.0,0.0,0.7238824465479013,0.1600887590663014,21.440854479430428,0.5026540249409958,22.76861223428703,0.5568381095481383,19.649300483220387,0.6084005349835049,19.705797064729452,0.504449271872834,22.76861223428703,0.5568381095481383,22.343924843803578,0.39941270260870704,22.11006282429444,0.33952807418014525,20.424894060891305,0.41896169259958455,21.6275731790858,0.2412212006418019,18.096260343455462,0.7259263648133262,0.01645988622040062,0.050058620338547355,0.06591708491736714,0.05639103659281005,0,0,0,0,1,1,0,0.7763157894736842,0.7763157894736842
ADM,0.017310030422629345,0.00967690129639148,0.05361545155344185,0.053035331982217056,0.1495297892328643,0.03892922357694295,0.7857136770916511,0.3185740375607326,1.7495684501372435,0.16932213961347467,1.0,0.0,0.6954293478880094,0.1600887590663014,24.104489182962922,0.41106379593345266,24.423121954616967,0.0730542776158326,20.21939209921329,0.5460102410764659,20.459082666919834,0.6313802741222554,24.423121954616967,0.0730542776158326,23.00731821486376,0.19551266379970916,23.87582882904733,0.15881348919974,23.320880112017672,0.15463826639870784,22.661455238630246,0.14454420466298679,20.171902466373794,0.5961818947138996,0.016437613898787395,0.006510510669136549,0.01284563744740641,0.020740860715020765,0,0,0,0,1,1,1,0.7364864864864865,0.7364864864864865
ADP,0.020146769987689404,0.010691986457995083,0.14068424821787193,0.069556829290226,0.1495297892328643,0.03892922357694295,0.13279396285411268,0.05854955139332688,1.0763984722715532,0.03145115896462801,0.999757095904429,0.0013093313784350085,0.006323328839234628,0.0006962883651223002,22.202073122075262,0.40292216181431006,24.309188702561933,0.15011012491799294,20.28725612364571,0.4909170782696966,20.459082666919834,0.6313802741222554,24.30894493205636,0.15003375126929058,22.378457276233597,0.18743698183628812,24.14541689099845,0.18665170538508236,24.072220737392087,0.1870073446349283,17.44273747542404,0.05663958722765869,19.59225633663054,0.6746381141014299,0.007731088648063711,0.0108782279047559,0.000924110152076274,0.05750681544501005,0,0,0,1,0,1,1,0.7430555555555556,0.7430555555555556
ADSK,-0.0005502904279049683,0.037427537132292764,-0.01892470513916454,0.45772350468093076,-0.15804193689739723,0.09101397902035506,0.23711124814798798,0.11370887427931063,1.8406062670934829,0.534139786080686,1.0,0.0,0.2540239166202238,1.6163949266213498,20.61004351821683,0.4931697703557524,22.090178342545617,0.24220429240563676,3.707083134819805,18.299824602464152,5.153930480722629,17.72108811607734,22.090178342545617,0.24220429240563676,16.629432203340613,12.878167543340698,21.455596592355572,0.23043918551820664,20.89691401242032,0.3490108272058706,19.632942673255336,4.766150832689192,17.13262118731722,0.6361440153415817,-0.0897658676584594,0.012456860199503872,0.0,0.03780044498200576,0,0,1,0,1,1,1,0.8055555555555556,0.8055555555555556
